,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-44034.97137711597,-43786.90399323059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-43944.268520843514,-43699.63966847611,-43371.87770820809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-43533.96084497524,-43220.36152265621,-42825.52638028217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-42577.97052238537,-42196.75899015022,-41734.53785071922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-42811.478749733695,-42351.1096887405,-41810.11154649807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-42275.91547242952,-41741.608690422305,-41730.65817985106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-41749.54532655729,-41743.01956607569,-41734.89824067115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-41396.61462146211,-41394.592056424015,-41389.31851915926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41272.468560934656,-41266.7193697831,-41258.9406440119,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41435.13971842736,-41429.79592906038,-41421.72341862249,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41774.82605396311,-41767.41015806722,-41758.2535520289,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41277.47675380039,-41279.198007592924,-41275.04602436429,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41476.59379393793,-41492.34559605723,-41496.2847587057,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41679.95084416574,-41703.25684950133,-41711.327409433245,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41627.76759656151,-41645.38519373727,-41649.30695933494
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41469.06519320798,-41476.17430865131
