,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-42885.46851598233,-42879.49629079312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-42614.907751556086,-42609.399819846796,-42601.92151021545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-42526.90540247507,-42520.36597614832,-42511.7786434228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-42653.61917335117,-42645.51782447422,-42635.39549905384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-42588.88647711724,-42578.687656526265,-42566.49124920815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-42479.35725569928,-42466.560420276764,-42462.87725472522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-42567.62546789691,-42564.83146825035,-42561.21561653279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-42549.10228466113,-42546.175441475556,-42542.2984327283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42922.72597583352,-42922.08360752591,-42919.84969424042,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42657.70873317539,-42657.823815054835,-42655.63759055218,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42681.5886070786,-42679.941826277085,-42676.63624674263,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42559.28612462044,-42572.26465764368,-42576.83000972572,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42779.68643896251,-42790.72130671267,-42794.48024876354,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42690.86748168014,-42707.06221388623,-42713.71208668698,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42859.05391037084,-42868.20206555435,-42870.59386364448
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42559.119909141744,-42561.492761790505
