,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-42428.22459309694,-42445.22857730981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-42316.3646865105,-42347.89085551255,-42380.12876381629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-41978.310097346526,-42012.302293548804,-42046.79166592143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-42271.79380491091,-42314.50251316739,-42357.95044284774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-42229.33459226929,-42282.547872053015,-42336.502531813014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-42361.94632604339,-42407.199544575,-42401.110197826725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-42688.77343253185,-42687.52888335013,-42684.15773375375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-42605.51556837965,-42601.427618037254,-42596.01425150491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42329.18732337581,-42323.36250082401,-42317.06733121029,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42653.8373173348,-42649.25274538413,-42643.55176621245,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42597.10391476749,-42593.34480508365,-42588.154543239936,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42567.16101533017,-42576.82259817664,-42579.15786726357,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42460.74777898866,-42456.98264805354,-42451.55874521621,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42697.58965871662,-42705.20828429362,-42706.00841717348,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42247.87653551129,-42257.11528826539,-42258.59861017677
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42313.569198067744,-42316.27847652663
