,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-42437.008617538726,-42422.60991086415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-42876.410737978505,-42867.864253984975,-42858.231454598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-42810.21302463254,-42800.15666057309,-42789.19134701928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-42620.18003778034,-42610.62424735599,-42599.910610957675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-42684.09454402672,-42672.91393336998,-42660.78504988895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-42732.105326501056,-42724.090589133426,-42719.45795457743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-42446.446834719194,-42443.17941398138,-42438.907879816914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-42357.88013428367,-42353.43270537885,-42348.32594104708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42584.221920762866,-42585.52354630653,-42583.54290748496,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42955.78894833867,-42956.04713016235,-42953.37058096815,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42719.949231932114,-42728.612167192856,-42731.16000962968,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43090.59343326438,-43088.1759365481,-43084.01515446426,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42676.4909917797,-42678.53145160485,-42676.82883447131,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42882.872028809994,-42897.0153427758,-42902.11668314428,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42537.367589986075,-42545.17447291796,-42546.70081711855
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42560.694303805474,-42563.8856228769
