,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-42016.22342566427,-41984.362845219934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-41566.43214110311,-41544.11061552938,-41517.788960255944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-41563.694023885095,-41540.239462651574,-41512.0133226293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-41583.91117934164,-41562.852978505456,-41536.04517439779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-41945.59973291334,-41932.552205838525,-41910.68200925764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-41875.18416861471,-41846.53679160055,-41838.10493087837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-41511.00755003866,-41506.24093437263,-41499.55768712108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-41430.83690834114,-41423.46407826488,-41415.14989994207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41758.10942967479,-41759.06994007269,-41754.51693373459,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41464.412785989436,-41461.56913023727,-41456.499099373264,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41911.289633090666,-41909.05888903086,-41904.14419082471,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41822.45823442881,-41819.31500152417,-41812.66375351952,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41703.97146323987,-41701.824054728015,-41695.98260524873,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42105.241270075305,-42113.63803699617,-42113.31743642824,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41739.55258587007,-41759.684461803605,-41765.32190101888
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41585.00773832338,-41588.05107277181
