,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-43028.77834441004,-43036.122720020394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-42683.3640606576,-42702.99417998133,-42719.725438373665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-42794.08863474665,-42810.105327861886,-42823.185840862374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-42998.50126625834,-43013.669156807046,-43025.91183640299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-42825.97244526682,-42839.447119968514,-42850.039790886025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-42609.106801288704,-42618.709883945565,-42615.64683101879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-42384.67732455073,-42384.34965465771,-42382.21720549101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-42610.26759956585,-42609.066245522445,-42606.39878981753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42950.44615122313,-42945.80895941897,-42940.877818380664,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42902.113583022794,-42908.040283476184,-42909.94063496431,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43009.30622795708,-43006.57913422426,-43002.79107938337,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42776.33106016954,-42780.04951534796,-42780.080150912654,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42741.84655652571,-42762.18104631747,-42771.898775254485,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42791.02290705885,-42804.563122873304,-42810.467742838606,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42812.49944773793,-42819.249899574264,-42820.723915719434
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42847.827660509094,-42848.83251681273
