,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-43031.48251405759,-43007.72479394479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-42808.76771220908,-42805.426315758086,-42802.307220790244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-42783.88537372362,-42781.312486273164,-42778.36346809279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-42777.61437774569,-42773.75097460419,-42770.6590226081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-43137.988495263315,-43136.838256212926,-43135.479992750144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-42836.675407830444,-42835.92913836595,-42832.359784968176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-42738.21699854933,-42735.68020575657,-42732.715125346454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-42803.71331368952,-42807.583957999836,-42808.51990078514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42310.884566343055,-42309.99739543547,-42307.81641873438,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43016.66532532567,-43019.17511333918,-43019.174083994985,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43001.29042744277,-43003.11307487733,-43002.75986985345,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42867.9084335756,-42864.71602078973,-42861.088069048754,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42727.23606755584,-42739.26648851404,-42744.56445746803,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42946.29836328537,-42949.95807551271,-42950.3776455124,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43346.367163520335,-43352.98711547589,-43354.6676623865
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42846.729701389326,-42848.44904380856
