,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-42551.40895789838,-42536.09128707623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-42608.04467468328,-42598.63712482519,-42588.26803832121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-42445.11761661294,-42431.66895549419,-42417.18909191015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-42176.510574613305,-42165.80004552433,-42154.08529285023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-42039.19544302621,-42028.67723392644,-42017.16173731485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-42010.33494685536,-41999.23320971375,-41997.30570397837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-42075.59538742063,-42069.21624468228,-42062.43728108385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-42406.40381210426,-42402.608271544246,-42397.403169102676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42258.44032700011,-42262.181461933134,-42261.79660827525,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42386.20982261505,-42385.005730841425,-42381.471316148476,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42539.20250565411,-42538.057275117724,-42534.27989689368,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42260.93433087963,-42263.70280647273,-42262.25378128929,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42450.61823909061,-42456.49173707662,-42457.04777165319,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42425.255201024534,-42447.893972918115,-42457.962965622784,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42283.64406950344,-42293.576954866025,-42295.69699895924
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42544.764886022924,-42545.46452124721
