,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-42763.48735848139,-42764.230039984686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-42857.74821093748,-42860.165669471724,-42862.09693113039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-42631.783997923834,-42632.14235833357,-42632.063655526144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-42716.35118243168,-42718.65119215916,-42720.769044966204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-42839.417988599045,-42840.511648774846,-42841.45443612407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-42713.10715577076,-42714.78444841574,-42712.872001059855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-42849.36385658453,-42848.69274724325,-42846.71283034363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-42652.65708524784,-42651.845348992734,-42649.65827563551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42797.71104411164,-42796.90486303118,-42794.87709861181,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43219.26320496348,-43217.02468307994,-43213.96760409441,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42958.84464543245,-42957.673983388806,-42955.30581587321,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42761.50041132536,-42759.38116407162,-42756.50497099794,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43154.697630403105,-43158.07583549656,-43158.50814480282,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43159.49581716992,-43162.59878713585,-43162.54886741443,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42888.95738587476,-42892.592123578026,-42892.69856647471
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42695.203149984314,-42696.605412848985
